Timeline,Category,Task,Who Can Help,Notes,Completed
Day 1 Post-Op,Medical Care,Ice hip 5-10 times daily for 20 minutes,,Wrap ice pack in towel - any cold item works,
Day 1 Post-Op,Recovery,Begin short frequent walks,,Focus on range of motion,
Day 1 Post-Op,Daily Support,Help with meals and basic needs,,Limit sitting to 30-60 minute intervals,
Day 1 Post-Op,Medical Equipment,Set up Game Ready if ordered,,Follow training instructions,
Days 2-7 Post-Op,Medical Care,Keep incision covered in shower,,Use waterproof bandage or plastic wrap,
Days 2-7 Post-Op,Medical Care,Continue icing routine,,5-10 times daily for 20 minutes,
Days 2-7 Post-Op,Recovery,Physical therapy sessions,,Home health PT 2-3 times per week,
Days 2-7 Post-Op,Daily Support,Help with bathing/showering,,Assistance getting in/out and safety,
Days 2-7 Post-Op,Daily Support,Meal preparation and delivery,,Easy nutritious meals,
Days 2-7 Post-Op,Daily Support,Help with laundry and cleaning,,Reduce physical strain,
Days 2-7 Post-Op,Daily Support,Medication reminders,,Proper timing and dosages,
Week 2 Post-Op,Medical Care,Remove steri-strips after 2 weeks,,Incision care,
Week 2 Post-Op,Medical Care,May shower normally after day 7,,Incision can get wet but no soaking,
Week 2 Post-Op,Recovery,Continue physical therapy,,Home health PT then transition to outpatient,
Week 2 Post-Op,Daily Support,Grocery shopping and errands,,Bank post office prescriptions,
Week 2 Post-Op,Recovery,May try stationary bike if can safely get on/off,,Low resistance at 3-4 weeks,
Week 2 Post-Op,Technology,Teach Snick how to add media to JumpFlix,,Delegate entertainment management,
Week 2 Post-Op,Home Projects,Work on mini-build for suitcase-sized BAP booth,,Light construction as tolerated,
Week 3-4 Post-Op,Medical Care,Begin weaning off opioids,,Goal to be off narcotics by 1 month,
Week 3-4 Post-Op,Recovery,Transition from walker to cane if ready,,When feeling safe and steady,
Week 3-4 Post-Op,Recovery,May begin swimming once incision healed,,Around 4-5 weeks,
Week 3-4 Post-Op,Transportation,May resume driving,,When off narcotics and not using walker,
Week 4-6 Post-Op,Medical Care,Continue outpatient physical therapy,,3-4 weeks of outpatient PT,
Week 4-6 Post-Op,Recovery,Gradually increase activity,,Short frequent walks,
Week 8-12 Post-Op,Recovery,May resume golfing hiking dancing,,Higher impact activities,
Week 8-12 Post-Op,Home Projects,Install tin can doorbell if desired,,Fun project for later recovery,
Week 8-12 Post-Op,Home Projects,Make ixi frame awesome,,Creative project when feeling better,
Week 8-12 Post-Op,Home Projects,Consider remote blinds installation,,Home improvement project,
Follow-up Visit,Medical Care,Post-op appointment with Dr. Wilde,,10/07/25 at 10:00am - Mission Valley office,
Follow-up Visit,Medical Care,Post-op X-ray,,Same day as follow-up visit,
Ongoing,Emergency,Contact office for incision drainage or openings,,Phone or MyScripps Portal message,
Ongoing,Medical Alert,Watch for signs of infection,,Fever increased pain drainage unusual swelling,
Ongoing,Activity,Avoid high-impact activities long-term,,Tennis running to prevent implant loosening
